file,landmark,x,y,z
cancan07_B 2026-01-28_11-50-04.obj,r_wrist,-36.10333333,-1.756,87.81333333
cancan07_B 2026-01-28_11-50-04.obj,l_wrist,34.63230769,-0.2992307692,88.91076923
cancan07_B 2026-01-28_11-50-04.obj,r_armpit,-16.68370537,nan,121.3869595
cancan07_B 2026-01-28_11-50-04.obj,l_armpit,15.32580983,nan,125.4341757
cancan07_B 2026-01-28_11-50-04.obj,r_hip,-19.97,-4.11,86.8869
cancan07_B 2026-01-28_11-50-04.obj,l_hip,18.36,-2.17,86.8869
cancan07_B 2026-01-28_11-50-04.obj,r_foot,-13.14,13.87,-0.03
cancan07_B 2026-01-28_11-50-04.obj,l_foot,18.03,10.09,-0.03
cancan07_B 2026-01-28_11-50-04.obj,crotch,-1.21,0.42,73.70020627
cancan07_B 2026-01-28_11-50-04.obj,l_ankle,10.60105263,6.346842105,12.07578947
cancan07_B 2026-01-28_11-50-04.obj,r_ankle,-14.9125,7.663333333,15.32375
cancan07_B 2026-01-28_11-50-04.obj,lShoulder,15.51,2.81,143.33
cancan07_B 2026-01-28_11-50-04.obj,rShoulder,-17.02,0.66,143.74
cancan07_B 2026-01-28_11-50-04.obj,collar,-0.755,1.735,143.535
cancan07_B 2026-01-28_11-50-04.obj,lowerBack,1.08,13.17,85.17
cancan07_B 2026-01-28_11-50-04.obj,nose_tip,-1.34,-15.53,157.38
man.obj,r_wrist,-0.5104848387,0.05213612903,1.156366129
man.obj,l_wrist,0.5101403333,0.05195966667,1.15874
man.obj,r_armpit,-0.2104327443,nan,1.536088461
man.obj,l_armpit,0.2106874967,nan,1.538971076
man.obj,r_hip,-0.19137,-0.01558,1.073242459
man.obj,l_hip,0.19137,-0.01559,1.073242459
man.obj,r_foot,-0.16824,-0.07126,-0.00566
man.obj,l_foot,0.16824,-0.07126,-0.00566
man.obj,crotch,-0.00345,-0.04346,0.97547
man.obj,l_ankle,0.1780608696,0.079795,0.1972715217
man.obj,r_ankle,-0.1766739535,0.07834418605,0.1963553488
man.obj,lShoulder,0.21466,0.06886,1.71968
man.obj,rShoulder,-0.21466,0.06886,1.71968
man.obj,collar,0,0.06886,1.71968
man.obj,lowerBack,2e-05,0.13506,1.06667
man.obj,nose_tip,-0,-0.13184,1.90133
penn-mesh-1.obj,r_wrist,-0.03856345,0.0006814954545,0.08482667273
penn-mesh-1.obj,l_wrist,0.03875826667,0.0009561611111,0.08433735556
penn-mesh-1.obj,r_armpit,-0.01059200939,nan,0.07775846115
penn-mesh-1.obj,l_armpit,0.0131876243,nan,0.08032327184
penn-mesh-1.obj,r_hip,-0.0105276,0.0041193,0.05313678718
penn-mesh-1.obj,l_hip,0.011224,0.0045915,0.05313678718
penn-mesh-1.obj,r_foot,-0.0095832,-0.0022975,0.0001065
penn-mesh-1.obj,l_foot,0.0059384,-0.0023705,0.0002748
penn-mesh-1.obj,crotch,0.0005389,0.0004163,0.04791468743
penn-mesh-1.obj,l_ankle,0.0071084875,0.0054159,0.0111940125
penn-mesh-1.obj,r_ankle,-0.006721011111,0.005777094444,0.0111887
penn-mesh-1.obj,lShoulder,0.0137069,0.0004216,0.0874071
penn-mesh-1.obj,rShoulder,-0.0106947,-0.0007605,0.0881251
penn-mesh-1.obj,collar,0.0015061,-0.00016945,0.0877661
penn-mesh-1.obj,lowerBack,0.0005418,0.0114219,0.0528944
penn-mesh-1.obj,nose_tip,4.73e-05,-0.0106079,0.0963446
penn-mesh-2.obj,r_wrist,-33.07045455,-2.915909091,92.69181818
